City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Lagoa,PT,39.05,-27.9833,61.84,79,46,9.98,scattered clouds
178,Kimparana,ML,12.8347,-4.9244,74.71,15,1,6.02,clear sky
179,Vung Tau,VN,10.346,107.0843,77.67,82,98,5.44,light rain
180,Manokwari,ID,-0.8667,134.0833,84.36,72,100,6.17,overcast clouds
181,Caravelas,BR,-17.7125,-39.2481,76.3,93,100,9.51,overcast clouds
182,Ratnagiri,IN,16.9833,73.3,77.25,80,100,5.61,light rain
183,San Francisco,US,37.7749,-122.4194,65.52,68,20,1.99,few clouds
184,Tachikawa,JP,35.6928,139.4181,69.3,76,1,4.0,clear sky
185,Mount Isa,AU,-20.7333,139.5,98.37,11,2,5.75,clear sky
186,Tucurui,BR,-3.7661,-49.6725,80.38,72,95,2.35,overcast clouds
187,Kimberley,ZA,-28.7323,24.7623,51.49,54,0,4.61,clear sky
188,Rincon,US,32.296,-81.2354,54.12,76,1,0.0,clear sky
189,Ahipara,NZ,-35.1667,173.1667,71.24,60,100,6.17,overcast clouds
190,Puerto Baquerizo Moreno,EC,-0.9,-89.6,68.02,91,40,8.95,scattered clouds
191,Mayo,US,38.8876,-76.5119,44.87,87,1,0.0,clear sky
192,Atasu,KZ,48.6814,71.6433,10.51,87,4,2.44,clear sky
193,La Rochelle,FR,46.1667,-1.15,54.95,100,90,16.11,overcast clouds
194,Marshall,US,34.3834,-86.3333,54.12,79,1,4.61,clear sky
195,Ixtapa,MX,20.7,-105.2,77.23,83,1,0.0,clear sky
196,Labuan,MY,5.2767,115.2417,88.16,74,20,2.3,few clouds
197,Aswan,EG,24.0934,32.907,74.21,27,97,10.51,overcast clouds
198,Cidreira,BR,-30.1811,-50.2056,67.91,82,0,12.48,clear sky
199,Mehamn,NO,71.0357,27.8492,26.74,87,100,9.95,light snow
200,Polovinnoye,RU,54.7914,65.9864,26.22,70,100,17.76,overcast clouds
201,Comodoro Rivadavia,AR,-45.8667,-67.5,71.46,17,0,9.22,clear sky
202,Olafsvik,IS,64.8945,-23.7142,28.99,56,60,3.78,broken clouds
203,Upernavik,GL,72.7868,-56.1549,22.19,90,99,5.19,overcast clouds
204,Werda,BW,-25.2667,23.2833,73.71,24,0,8.1,clear sky
205,Zhangjiakou,CN,40.81,114.8794,24.8,47,1,3.87,clear sky
206,Carnarvon,AU,-24.8667,113.6333,75.27,60,40,21.85,scattered clouds
207,Saskylakh,RU,71.9167,114.0833,-38.07,99,81,5.14,broken clouds
208,Kununurra,AU,-15.7667,128.7333,102.18,25,11,4.61,few clouds
209,Notre-Dame-Du-Lac,CA,47.6136,-68.7964,19.74,98,91,2.91,overcast clouds
210,Sao Filipe,CV,14.8961,-24.4956,73.81,70,100,10.89,overcast clouds
211,Khandyga,RU,62.6667,135.6,-11.81,97,100,3.47,overcast clouds
212,Horni Benesov,CZ,49.9668,17.6026,35.19,88,62,6.85,broken clouds
213,Skibbereen,IE,51.55,-9.2667,46.2,78,34,23.4,light rain
214,Amuntai,ID,-2.4177,115.2494,80.78,80,100,1.7,overcast clouds
215,Santa Marta,CO,11.2408,-74.199,78.96,87,67,11.81,broken clouds
216,Kruisfontein,ZA,-34.0033,24.7314,60.89,90,37,3.2,scattered clouds
217,Erenhot,CN,43.6475,111.9767,20.82,63,7,9.26,clear sky
218,Flinders,AU,-34.5833,150.8552,78.8,80,64,8.93,broken clouds
219,Nova Olinda Do Norte,BR,-3.8881,-59.0942,77.36,83,100,1.66,light rain
220,Eirunepe,BR,-6.6603,-69.8736,71.17,98,100,2.04,overcast clouds
221,Namatanai,PG,-3.6667,152.4333,85.87,63,34,7.92,scattered clouds
222,Kutum,SD,14.2,24.6667,65.93,30,0,10.71,clear sky
223,Camopi,GF,3.1655,-52.3158,73.04,99,100,2.06,overcast clouds
224,Nawalgarh,IN,27.85,75.2667,64.35,29,100,3.74,overcast clouds
225,Baruun-Urt,MN,46.6806,113.2792,14.07,68,1,8.77,clear sky
226,Antalaha,MG,-14.9003,50.2788,71.91,80,31,5.64,scattered clouds
