City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
275,Polonnaruwa,100,LK,2021-11-28 19:51:24,96,7.9333,81.0,74.41,2.86
276,San Ignacio,40,BZ,2021-11-28 19:51:24,61,17.1561,-89.0714,84.34,3.44
277,Ambanja,100,MG,2021-11-28 19:51:24,91,-13.6833,48.45,75.74,0.65
278,Shalinskoye,100,RU,2021-11-28 19:51:24,83,55.7228,93.7594,19.83,17.22
279,Vardo,40,NO,2021-11-28 19:50:27,86,70.3705,31.1107,17.58,18.41
280,Pangnirtung,75,CA,2021-11-28 19:43:20,54,66.1451,-65.7125,26.6,12.66
281,Cabo San Lucas,100,MX,2021-11-28 19:49:11,73,22.8909,-109.9124,74.66,7.63
282,Baoding,73,CN,2021-11-28 19:51:25,77,38.8511,115.4903,40.78,5.53
283,Damietta,100,EG,2021-11-28 19:51:25,66,31.4165,31.8133,69.69,5.91
284,Wynyard,16,AU,2021-11-28 19:51:26,86,-41.0,145.7167,49.84,5.73
285,Kirkland Lake,97,CA,2021-11-28 19:51:26,73,48.1446,-80.0377,21.49,1.39
286,Jacareacanga,98,BR,2021-11-28 19:51:27,70,-6.2222,-57.7528,83.25,2.55
287,Sal Rei,75,CV,2021-11-28 19:51:27,64,16.1833,-22.9167,75.4,19.57
288,Carballo,99,ES,2021-11-28 19:51:27,91,43.213,-8.691,53.29,8.21
289,Novikovo,100,RU,2021-11-28 19:51:28,93,51.1537,37.8879,41.58,7.99
290,Makokou,86,GA,2021-11-28 19:51:28,82,0.5738,12.8642,72.97,2.37
291,Kununurra,21,AU,2021-11-28 19:51:28,88,-15.7667,128.7333,75.18,0.0
292,Husavik,100,IS,2021-11-28 19:51:29,94,66.0449,-17.3389,28.31,6.04
293,Dauphin,40,CA,2021-11-28 19:51:29,68,51.1494,-100.0502,24.94,5.75
294,Pareora,0,NZ,2021-11-28 19:51:29,78,-44.4871,171.2132,58.66,5.23
295,Makakilo City,1,US,2021-11-28 19:51:29,72,21.3469,-158.0858,77.32,9.22
296,Knysna,94,ZA,2021-11-28 19:51:30,86,-34.0363,23.0471,66.58,7.16
297,Nome,1,US,2021-11-28 19:51:30,69,64.5011,-165.4064,-16.53,5.75
298,Yar-Sale,100,RU,2021-11-28 19:49:01,95,66.8333,70.8333,-7.4,7.85
299,Vila,100,PT,2021-11-28 19:51:31,98,42.0304,-8.1588,43.68,5.77
300,Lichuan,100,CN,2021-11-28 19:51:31,69,30.3,108.85,43.65,1.99
301,Thomasville,91,US,2021-11-28 19:50:35,32,35.8826,-80.082,61.0,7.78
302,Pringsewu,100,ID,2021-11-28 19:51:31,92,-5.3582,104.9744,73.33,3.91
303,Tamandare,76,BR,2021-11-28 19:51:32,76,-8.7597,-35.1047,81.39,13.13
304,Samarai,100,PG,2021-11-28 19:43:23,80,-10.6167,150.6667,82.18,7.58
305,Luau,80,AO,2021-11-28 19:51:32,95,-10.7073,22.2247,65.84,2.51
306,Mayo,51,US,2021-11-28 19:51:32,51,38.8876,-76.5119,60.78,3.6
307,Rodrigues Alves,98,BR,2021-11-28 19:51:33,55,-7.738,-72.6509,91.6,3.13
308,Leningradskiy,85,RU,2021-11-28 19:51:33,94,69.3833,178.4167,-21.14,11.3
309,Pevek,100,RU,2021-11-28 19:51:33,84,69.7008,170.3133,1.45,1.45
