City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
324,Acapulco,MX,80.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
325,Chake Chake,TZ,76.37,light rain,-5.2459,39.7666,Hotel Archipelago
330,Mumford,GH,79.54,overcast clouds,5.2618,-0.759,Spanish Villa
343,Poum,NC,81.82,clear sky,-20.2333,164.0167,Gîte kajeon
348,Matara,LK,77.4,few clouds,5.9485,80.5353,Amaloh Boutique Resort
358,Hermosillo,MX,77.2,broken clouds,29.0667,-110.9667,ibis Hermosillo
377,Padang,ID,80.65,scattered clouds,-0.9492,100.3543,Mercure Padang
379,Makakilo City,US,82.72,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
389,Sydney,AU,78.58,broken clouds,-33.8679,151.2073,The Grace Sydney
400,Altamira,BR,78.22,broken clouds,-3.2033,-52.2064,Requinte Hotel
402,Zacualpan,MX,77.72,overcast clouds,21.25,-105.1667,La Colorada B&B
409,Conde,BR,78.26,clear sky,-7.2597,-34.9075,Pousada Beija Flor
410,Morant Bay,JM,80.22,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
424,Lucea,JM,78.66,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
429,Teahupoo,PF,78.76,light rain,-17.8333,-149.2667,Vanira Lodge
437,Yeppoon,AU,83.98,scattered clouds,-23.1333,150.7333,Villa Mar Colina
446,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
457,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
470,Massaguet,TD,75.24,scattered clouds,12.4755,15.4365,Alwatane
472,Kloulklubed,PW,85.15,light rain,7.0419,134.2556,Storyboard Beach Resort
474,Itarema,BR,80.11,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
479,Tual,ID,84.31,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
480,Ulladulla,AU,82.76,broken clouds,-35.35,150.4667,Sandpiper Motel
481,Saint-Leu,RE,76.06,scattered clouds,-21.15,55.2833,La Caz Oceane
488,Corumba,BR,75.51,scattered clouds,-19.0092,-57.6533,Hotel Laura Vicunha
502,Kahului,US,84.22,light rain,20.8947,-156.47,Maui Seaside Hotel
504,Saint-Georges,GD,79.61,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
505,Atambua,ID,86.13,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
509,Banda Aceh,ID,81.48,broken clouds,5.5577,95.3222,Sulthan Hotel International
511,Lorengau,PG,85.87,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
522,Quatre Cocos,MU,77.11,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
528,Kundiawa,PG,75.07,broken clouds,-6.0167,144.9667,Pari
542,Dapaong,TG,76.24,scattered clouds,10.8639,0.205,Hotel Caroli
546,Saint-Pierre,RE,76.68,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
552,Sassandra,CI,76.78,moderate rain,4.95,-6.0833,la terrasse
555,Ugoofaaru,MV,81.55,few clouds,5.6667,73.0,Ungoofaaru Inn
557,Mareeba,AU,89.47,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
561,Ransang,PH,84.11,broken clouds,8.9603,117.5828,Black and Crystal Sand Campsite
577,Gorontalo,ID,81.09,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
596,General Nakar,PH,83.62,broken clouds,14.7631,121.635,WMV Hotel & Restaurant
599,Cockburn Town,TC,79.57,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
611,Katobu,ID,86.52,light rain,-4.9408,122.5276,La Ode Husein
624,Takoradi,GH,79.65,overcast clouds,4.8845,-1.7554,Raybow International Hotel
626,Vanimo,PG,77.72,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
632,Mackay,AU,88.68,clear sky,-21.15,149.2,International Lodge Motel
635,Champerico,GT,80.04,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
637,Nargana,PA,77.45,overcast clouds,9.4428,-78.5906,Dubbir
639,Jacqueville,CI,76.91,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
640,Prado,BR,76.6,light rain,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
641,Monrovia,LR,76.77,clear sky,6.3005,-10.7969,Sunset Inn
642,Los Angeles,US,79.57,haze,34.0522,-118.2437,Kawada Hotel
643,Riohacha,CO,79.65,broken clouds,11.5444,-72.9072,Hotel Taroa
646,Dicabisagan,PH,75.58,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
649,Mogadishu,SO,78.75,broken clouds,2.0371,45.3438,Hotel Juba
652,Saquarema,BR,77.02,light rain,-22.92,-42.5103,Hotel Fazenda Sol e Lua
654,Miandrivazo,MG,77.31,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
